"id","name"
"63.03.08.2010",Sungkai
"63.03.08.2011",Sei/Sungai Langsat
"63.03.08.2014",Lawiran
"63.03.08.2017",Batu Balian
"63.03.08.2018",Cabi
"63.03.08.2019",Berkat Mulia (Berkat Mulya)
"63.03.08.2021",Sungai Baru (Sungkai Baru)
"63.03.08.2022",Paring Tali
"63.03.08.2025",Pasar Lama
"63.03.08.2026",Sei/Sungai Tabuk
"63.03.09.2001",Maniapun
"63.03.09.2002",Lok Tunggul (Loktunggul)
"63.03.09.2003",Lobang Baru
"63.03.09.2004",Pengaron
"63.03.09.2005",Benteng
"63.03.09.2006",Ati'im (Ati Im)
"63.03.09.2007",Alimukim
"63.03.09.2008",Penyiuran (Panyiuran)
"63.03.09.2009",Antaraku
"63.03.09.2010",Mangkauk
"63.03.09.2015",Kertak Empat
"63.03.09.2018",Lumpangi
"63.03.10.2001",Kupang Rejo
"63.03.10.2002",Sei/Sungai Pinang
"63.03.10.2003",Kahelaan
"63.03.10.2004",Rantau Nangka
"63.03.10.2005",Rantau Bakula
"63.03.10.2006",Belimbing Lama
"63.03.10.2010",Sumber Baru
"63.03.10.2011",Belimbing Baru
"63.03.10.2012",Pakutik
"63.03.10.2013",Sumber Harapan
"63.03.10.2015",Hakim Makmur
"63.03.11.2001",Tiwingan (Tiwingan Lama)
"63.03.11.2002",Kala'an (Kalaan)
"63.03.11.2003",Benua Riam
"63.03.11.2004",Bunglai
"63.03.11.2005",Apuai
"63.03.11.2006",Rantau Bujur
"63.03.11.2007",Artain
"63.03.11.2008",Rantau Balai
"63.03.11.2009",Tiwingan Baru
"63.03.11.2010",Belangian
"63.03.11.2011",Aranio
"63.03.11.2012",Pa'au (Paau)
"63.03.12.2001",Baru
"63.03.12.2002",Bawahan Pasar
"63.03.12.2003",Bawahan Seberang
"63.03.12.2004",Pematang Danau
"63.03.12.2005",Surian
"63.03.12.2006",Mataraman
"63.03.12.2007",Simpang Tiga
"63.03.12.2008",Bawahan Selan
"63.03.12.2009",Takuti
"63.03.12.2010",Pasiraman
"63.03.12.2011",Lok Tamu
"63.03.12.2012",Sei/Sungai Jati
"63.03.12.2013",Mangkalawat (Mangka Lawat)
"63.03.12.2014",Gunung Ulin
"63.03.12.2015",Tanah Abang
"63.03.13.2001",Pindahan Baru
"63.03.13.2002",Handil Purai
"63.03.13.2003",Kampung Baru
"63.03.13.2004",Lawahan
"63.03.13.2005",Babirik
"63.03.13.2006",Jambu Burung
"63.03.13.2007",Tambak Padi
"63.03.13.2008",Haur Kuning
"63.03.13.2009",Jambu Raya
"63.03.13.2010",Rumpiang
"63.03.13.2011",Salat Makmur (Selat Makmur)
"63.03.13.2012",Muara Halayung
"63.03.14.2001",Telok Selong
"63.03.14.2002",Sei/Sungai Batang
